I, A	N	N-Nb	p, keV/c	T, keV	mkFermi
0	1.609	0.019	0.0	0.0	0.0
0.2	1.509	-0.081	56.2	3.1	0.0
0.4	1.529	-0.061	112.3	12.2	0.0
0.6	1.509	-0.081	168.5	27.1	0.0
0.8	1.799	0.209	224.6	47.2	135.9252
1.0	2.169	0.579	280.8	72.0	161.7774
1.2	2.709	1.119	336.9	101.1	171.0583
1.4	2.939	1.349	393.1	133.7	149.0394
1.6	3.889	2.299	449.2	169.4	159.2385
1.8	4.178	2.588	505.4	207.7	141.6157
2.0	4.408	2.818	561.5	248.2	126.1693
2.2	4.958	3.368	617.7	290.6	119.5535
2.4	4.378	2.788	673.8	334.7	95.4682
2.6	4.318	2.728	730.0	380.1	83.7518
2.8	3.239	1.648	786.1	426.6	58.2569
3.0	2.949	1.359	842.3	474.2	47.6886
3.2	3.039	1.449	898.4	522.6	44.6983
3.4	3.689	2.099	954.6	571.7	49.1191
3.5	4.798	3.208	982.7	596.6	58.1473
3.55	4.998	3.408	996.7	609.1	58.6696
3.6	5.538	3.948	1010.7	621.6	61.8346
3.65	5.078	3.488	1024.8	634.1	56.9319
3.7	5.218	3.628	1038.8	646.7	56.8898
3.8	4.468	2.878	1066.9	671.9	48.6851
4.0	2.389	0.799	1123.0	722.8	23.7530
4.2	1.479	-0.111	1179.2	774.1	0.0
4.4	1.210	-0.380	1235.3	825.9	0.0

